program_name,attempt_number,provider,model,start_time,end_time,duration_seconds,prompt_summary,llm_output,parsed_rf,check_status,counterexample,tokens_used,empty_output_reason
DynExUpTo2VarsConj,1,openrouter,openai/gpt-5-mini,2026-03-15T20:04:49.832077,2026-03-15T20:05:27.079203,37.247126,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(1*n+1*m+1-1*a)],[ReLU(1*n+1*m+1-1*a)],YES,,3800,
DynExUpTo2VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T20:05:30.684707,2026-03-15T20:06:20.612720,49.928013,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a) + ReLU(m - 4*a), ReLU(2 - a)]","[ReLU(n - 4*a) + ReLU(m - 4*a), ReLU(2 - a)]",YES,,4735,
DynExUpTo3VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T20:06:23.605394,2026-03-15T20:07:18.734838,55.129444,"vars=['n', 'm', 'o'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a + 1), ReLU(m - 4*a + 1), ReLU(o - 4*a + 1)]","[ReLU(n - 4*a + 1), ReLU(m - 4*a + 1), ReLU(o - 4*a + 1)]",YES,,4864,
DynExUpTo4VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T20:07:21.935288,2026-03-15T20:07:57.232007,35.296719,"vars=['n', 'm', 'o', 'p'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(23171 - a)],[ReLU(23171 - a)],ERROR,,3374,
DynExUpTo4VarsDisj,2,openrouter,openai/gpt-5-mini,2026-03-15T20:08:00.648779,2026-03-15T20:08:20.492236,19.843457,"vars=['n', 'm', 'o', 'p'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n), ReLU(m), ReLU(o), ReLU(p)]","[ReLU(n), ReLU(m), ReLU(o), ReLU(p)]",NO,"{
  ""p"": 2,
  ""m"": 4,
  ""n"": 4,
  ""o"": 0
}",2736,
DynExUpTo4VarsDisj,3,openrouter,openai/gpt-5-mini,2026-03-15T20:08:23.790430,2026-03-15T20:08:51.814240,28.02381,"vars=['n', 'm', 'o', 'p'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + m + o + p + 1 - a)],[ReLU(n + m + o + p + 1 - a)],YES,,3837,
DynamiteEx2Vars,1,openrouter,openai/gpt-5-mini,2026-03-15T20:08:56.901470,2026-03-15T20:09:36.756557,39.855087,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1*n - 4*a), ReLU(1*m - 4*b)]","[ReLU(1*n - 4*a), ReLU(1*m - 4*b)]",NO,"{
  ""m"": 0,
  ""n"": 2
}",3945,
DynamiteEx2Vars,2,openrouter,openai/gpt-5-mini,2026-03-15T20:09:40.619565,2026-03-15T20:10:32.694152,52.074587,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a) + ReLU(m - 4*b), ReLU(2 - a) + ReLU(2 - b)]","[ReLU(n - 4*a) + ReLU(m - 4*b), ReLU(2 - a) + ReLU(2 - b)]",YES,,5367,
DynamiteExample,1,openrouter,openai/gpt-5-mini,2026-03-15T20:10:36.169547,2026-03-15T20:10:57.650972,21.481425,"vars=['n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a)],[ReLU(n - a)],YES,,2956,
DynamiteExampleX4,1,openrouter,openai/gpt-5-mini,2026-03-15T20:11:01.227066,2026-03-15T20:11:57.367198,56.140132,"vars=['n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - 4*a), ReLU(4 - a)]","[ReLU(n - 4*a), ReLU(4 - a)]",YES,,4724,
