caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
DynExUpTo2VarsConj#loop,[ ReLU(a - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 8,
  ""n"": 8
}",Checker completed: candidate function could not prove termination.
DynExUpTo2VarsDisj#loop,[ ReLU(a - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 8,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
DynExUpTo3VarsDisj#loop,[ ReLU(a - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 0,
  ""o"": 12
}",Checker completed: candidate function could not prove termination.
DynExUpTo4VarsDisj#loop,[ ReLU(a - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 8,
  ""m"": 0,
  ""n"": 0,
  ""o"": 0
}",Checker completed: candidate function could not prove termination.
DynamiteEx2Vars#loop,"[ ReLU(a - 1), ReLU(b - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 8
}",Checker completed: candidate function could not prove termination.
DynamiteExample#loop,"[ ReLU(a + 1), ReLU(n - (a + 1) * (a + 1)) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
DynamiteExampleX4#loop,[ ReLU(a - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 8
}",Checker completed: candidate function could not prove termination.
MultDisj#loop,"[ ReLU(a - 1), ReLU(b - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 12,
  ""n"": 14
}",Checker completed: candidate function could not prove termination.
Poly2VarsCondBreak#loop,"[ ReLU(a - 1), ReLU(m - a * a * 4) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 8
}",Checker completed: candidate function could not prove termination.
PolyClosingIn#loop,"[ ReLU(a - 1), ReLU(m - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Square2VarsDisj#loop,"[ ReLU(a - 1), ReLU(b - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 12,
  ""n"": 14
}",Checker completed: candidate function could not prove termination.
SquareDisj2Vars#loop,"[ ReLU(a - 1), ReLU(b - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""n"": 14
}",Checker completed: candidate function could not prove termination.
TwoPol4VarsConj#loop,"[ ReLU(a + 1), ReLU(b + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 8,
  ""n"": 14
}",Checker completed: candidate function could not prove termination.
TwoPol4VarsDisj#loop,"[ ReLU(a + 1), ReLU(b + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 14,
  ""n"": 12
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010Fig1#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010cousot9#loop,"[ ReLU(i - 1), ReLU(j - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010easy1#loop,[ ReLU(x - 40) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010easy22#loop,"[ ReLU(x - 1), ReLU(-y - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010loops#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010nestedLoop1#loop,"[ ReLU(i - n), ReLU(j - m), ReLU(k - N) ]",COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 0,
  ""m"": 1,
  ""n"": 1,
  ""N"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010random1d2#loop,"[ ReLU(a + 1), ReLU(m - x) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
AliasDarteFeautrierGonnordSAS2010random2d#loop,"[ ReLU(i - 1), ReLU(r - 3) ]",COMPLETED,NOT_PROVED,NO,"{
  ""r"": 0
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010speedpldi2#loop,"[ ReLU(v - 1), ReLU(v2 - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 3,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010speedpldi3#loop,"[ ReLU(i - n), ReLU(j - m) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 2,
  ""n"": 3
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010speedpldi4#loop,"[ ReLU(i - 1), ReLU(i - m) ]",COMPLETED,NOT_PROVED,NO,"{
  ""m"": 2,
  ""n"": 3
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010wcet2#loop,"[ ReLU(i - 5), ReLU(j - 10) ]",COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010while2#loop,"[ ReLU(i - 1), ReLU(j - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
AliasDarteFeautrierGonnordSAS2010wise#loop,"[ ReLU(x - 3), ReLU(y - 3) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 4,
  ""y"": 7
}",Checker completed: candidate function could not prove termination.
